Variable,Main effect p-value,Main effect adjusted p-value,Interaction effect p-value,Interaction effect adjusted p-value,Main effect model - b0 (Intercept term coefficient),Main effect model - b1 (Helminth term coefficient),Main effect model - b2 (Diabetes term coefficient),Relative % of explained variance (Helminth term),Relative % of explained variance (Diabetes term),Relative % of explained variance (Helminth:Diabetes interaction term),Fraction of  variance unexplained by the three terms,Interaction effect model - c0 (Intercept term coefficient),Interaction effect model - c1 (Helminth term coefficient),Interaction effect model - c2 (Diabetes term coefficient),Interaction effect model - c3 (Helminth:Diabetes interaction term coefficient)
IL-13 (pg/ml),0.015197822,0.021571103,0.029494611,0.085802506,87.8250796,12.97356054,31.71290833,2.282166937,62.13455182,35.58328125,72.7544599,90.37199708,27.0193942,1.296555921,-48.82357137
IL-17A (pg/ml),1.98E-19,9.67E-19,0.009054574,0.041392338,65.60704292,-90.35837247,209.8262252,36.4991464,57.53963048,5.961223125,63.55136387,58.43956582,-129.8858371,295.4232304,137.3981808
IL-17F (pg/ml),2.63E-14,7.73E-14,0.022755214,0.080907428,23.2223676,-11.38690931,75.0765623,16.79013854,76.59486387,6.614997588,64.46538242,20.88088039,-24.29982859,103.0395806,44.88554054
IL-1b (pg/ml),8.97E-17,3.29E-16,0.131004509,0.232896904,11.87345913,-81.28216494,223.2423841,33.17049262,64.31520245,2.514304934,64.17023988,7.189089069,-107.1157002,279.1850879,89.79783491
IL-2 (pg/ml),8.29E-14,2.28E-13,0.278316363,0.445306181,25.2831764,-64.18635646,71.70868156,63.26120843,35.07514163,1.663649941,57.0694778,23.62578384,-73.32660557,91.50195585,31.77167093
IL-4 (pg/ml),3.83E-27,2.41E-26,0.785014157,0.837348435,39.68258853,37.15467819,233.7391894,1.042902175,98.91165,0.045447828,67.47470323,40.21431315,40.08705254,227.389112,-10.19298618
IL-5 (pg/ml),4.74E-13,1.16E-12,0.723665794,0.798527773,24.29688229,2.886840452,27.3070251,2.655535688,97.15168017,0.192784141,75.1812189,24.16778793,2.174906147,28.84872389,2.474696499
IL-6 (pg/ml),7.76E-08,1.37E-07,0.107474088,0.223127438,139.0768442,-40.89118512,40.17524071,64.17277204,29.00713706,6.820090898,42.64149144,137.0094489,-52.29253235,64.86493901,39.63128882
IL-8 (pg/ml),1.12E-10,2.45E-10,0.884269686,0.899958258,171.9402227,96.58577405,476.8676689,0.263368068,99.69498862,0.041643311,52.36939812,172.9745458,102.289897,464.5153503,-19.82763425
Leptin (pg/ml),9.65E-09,1.85E-08,0.264224908,0.445010372,-64.41568771,-402.1574101,1376.972172,27.77031223,69.22127289,3.008414881,82.31792235,-94.88036828,-570.1651439,1740.794111,583.9979161
Lymphocytes (%),8.99E-39,9.88E-38,0.116421164,0.223127438,35.78631112,0.635155433,-20.2068368,9.558468797,89.54786533,0.89366587,68.46520099,36.00054132,1.816599969,-22.76526333,-4.106722538
MCH (pg),1.91E-05,3.01E-05,0.523053538,0.597775472,27.50122907,-2.505925658,0.570712193,95.04646517,3.192428889,1.76110594,35.61441231,27.45624366,-2.754012832,1.10794673,0.862355498
MCHC (g/dl),1.36E-20,7.47E-20,0.009049596,0.041392338,34.12927016,-1.676671995,1.015202243,78.66468928,15.77475462,5.560556103,45.7449549,34.06530363,-2.029436932,1.779117218,1.226217293
MCP-1 (pg/ml),3.84E-13,9.95E-13,0.387794911,0.496377486,126.9907025,152.3125574,363.0628223,3.94723635,94.92453655,1.1282271,64.09098567,131.1913205,175.4782793,312.8972873,-80.52446732
MIP-1b (pg/ml),1.08E-05,1.77E-05,0.899958258,0.899958258,-633.1954801,192.7223258,513.38494,2.256636651,97.67751467,0.065848678,65.58676826,-631.7808538,200.523759,496.4908812,-27.11792247
Monocytes (%),3.06E-37,2.37E-36,0.315574808,0.459017902,8.451649953,0.15708076,-4.504253534,9.822911171,89.78592436,0.391164467,68.92637542,8.48320151,0.331082437,-4.881055401,-0.604832971
Neutrophils (%),4.87E-39,7.14E-38,0.038670403,0.103121076,58.6649826,-0.819521128,-33.61222051,6.282508088,92.19954042,1.51795149,67.44290224,59.12268602,1.704638459,-39.078306,-8.774024297
RBG (mg/dl),1.58E-50,6.94E-49,1.88E-08,6.02E-07,66.51499353,38.41612315,115.961648,0.926084968,92.44201404,6.63190099,52.41609514,69.81125071,56.59444269,76.5963681,-63.18816691
Resisitin (pg/ml),5.57E-08,1.02E-07,0.370076188,0.496377486,-4734.261707,-3048.151913,3782.629404,59.1929065,38.62545592,2.18163758,49.34354606,-4829.666607,-3574.294342,4921.994565,1828.88058
TGF-b (pg/ml),4.03E-09,8.05E-09,0.452395827,0.551925424,28.85027346,5.064137719,93.40366582,4.792386888,93.88731889,1.320294222,72.9039576,27.67478545,-1.418486554,107.4418347,22.53371901
TNF-a (pg/ml),7.39E-17,2.95E-16,7.58E-05,0.000538495,204.7778486,-35.62938388,366.1835033,11.99885788,73.43612549,14.56501662,60.4496224,187.470849,-131.0746574,572.8709202,331.769494
Visfatin (pg/ml),5.12E-18,2.25E-17,0.088262067,0.201741867,-2162.282924,-873.4185729,1968.546551,38.56627911,58.51960892,2.914111974,71.19074296,-2208.902733,-1130.5192,2525.299783,893.6864221
